COD_ROD;KM_ini.1;KM_FIM;Dist;Geo2
SP 123;46;46,3;0,3;"{""type"":""MultiLineString"",""coordinates"":[[[-45.6073229,-22.7506129],[-45.6066669,-22.7499459],[-45.6063489,-22.7479969]]]}"
SP 125;0;2;2;"{""type"":""MultiLineString"",""coordinates"":[[[-45.5572639,-23.0368909],[-45.5580559,-23.0389229],[-45.5573299,-23.0448749],[-45.5569719,-23.0454069],[-45.5566509,-23.0456559],[-45.5553869,-23.0466379],[-45.5551909,-23.0471909],[-45.5547029,-23.0512969],[-45.5548449,-23.0525889],[-45.5552499,-23.0541749]]]}"
SP 125;2;4;2;"{""type"":""MultiLineString"",""coordinates"":[[[-45.5552499,-23.0541749],[-45.5559249,-23.0568189],[-45.5560229,-23.0595739],[-45.5556949,-23.0619029],[-45.5558129,-23.0626949],[-45.5561079,-23.0631649],[-45.5566989,-23.0641049],[-45.5568569,-23.0647889],[-45.5564769,-23.0676219],[-45.5561139,-23.0683489],[-45.5555119,-23.0689529],[-45.5532659,-23.0705739],[-45.5531269,-23.0708199]]]}"
SP 125;4;5,86;1,86;"{""type"":""MultiLineString"",""coordinates"":[[[-45.5531269,-23.0708199],[-45.5520639,-23.0726899],[-45.5506149,-23.0746459],[-45.5500849,-23.0753649],[-45.5485959,-23.0787069],[-45.5474089,-23.0813709],[-45.5471555,-23.0822222],[-45.546528,-23.0826652],[-45.5455866,-23.0828313],[-45.545079,-23.0834866]]]}"
SP 125;5,86;14,208;8,348;"{""type"":""MultiLineString"",""coordinates"":[[[-45.545079,-23.0834866],[-45.5438516,-23.0836989],[-45.5434086,-23.0841972],[-45.5432609,-23.0846771],[-45.5431509,-23.0851169],[-45.5431849,-23.0867239],[-45.5426589,-23.0882309],[-45.5426219,-23.0892169],[-45.5406429,-23.0924139],[-45.5399279,-23.0931599],[-45.5394839,-23.0936229],[-45.5395069,-23.0961459],[-45.5393179,-23.0968999],[-45.5369309,-23.0996399],[-45.5360699,-23.0994399],[-45.5352909,-23.0994909],[-45.5352569,-23.0994919],[-45.5319749,-23.1008189],[-45.5313959,-23.1012609],[-45.5307729,-23.1027539],[-45.5296669,-23.1041849],[-45.5285059,-23.1053529],[-45.5274949,-23.1063719],[-45.5251509,-23.1080109],[-45.5229139,-23.1089409],[-45.5212949,-23.1102599],[-45.5212309,-23.1107759],[-45.5212699,-23.1108749],[-45.5217199,-23.1120029],[-45.5217399,-23.1127999],[-45.5216219,-23.1136269],[-45.5209459,-23.1149299],[-45.5183489,-23.1168889],[-45.5171049,-23.1179959],[-45.5159169,-23.1190559],[-45.5153399,-23.1196879],[-45.5128639,-23.1235139],[-45.5113439,-23.1251599],[-45.5089459,-23.1277589],[-45.5082679,-23.1281149],[-45.5067279,-23.1284599],[-45.5050649,-23.1299639],[-45.5045359,-23.1310939],[-45.5035449,-23.1332119],[-45.5034499,-23.1338869],[-45.5039869,-23.1362779],[-45.5036919,-23.1367239],[-45.5013749,-23.1388459],[-45.5010749,-23.1391229],[-45.4997509,-23.1399519]]]}"
SP 125;14,208;21,1;6,892;"{""type"":""MultiLineString"",""coordinates"":[[[-45.4997509,-23.1399519],[-45.4990819,-23.1403739],[-45.4971959,-23.1411959],[-45.4946519,-23.1418189],[-45.4941569,-23.1421809],[-45.4933429,-23.1434669],[-45.4925919,-23.1446559],[-45.4910389,-23.1456619],[-45.4904669,-23.1463039],[-45.4898599,-23.1481669],[-45.4898389,-23.1491939],[-45.4899749,-23.1512049],[-45.4899549,-23.1513019],[-45.4897719,-23.1521719],[-45.4882039,-23.1548789],[-45.4874729,-23.1567999],[-45.4862849,-23.1585249],[-45.4854949,-23.1591749],[-45.4854659,-23.1591919],[-45.4837579,-23.1601599],[-45.4810789,-23.1599869],[-45.4802769,-23.1601429],[-45.4796769,-23.1606809],[-45.4793279,-23.1623509],[-45.4784839,-23.1636299],[-45.4778669,-23.1645629],[-45.4776759,-23.1685549],[-45.4768859,-23.1714779],[-45.4769189,-23.1724119],[-45.4769619,-23.1735009],[-45.4766039,-23.1743719],[-45.4744539,-23.1774649],[-45.4730079,-23.1801709],[-45.4728079,-23.1804439],[-45.4713359,-23.1824619],[-45.4707249,-23.1841589],[-45.4701989,-23.1848609],[-45.4692449,-23.1851399],[-45.4669539,-23.1850539],[-45.4659749,-23.1853229],[-45.4650319,-23.1855819]]]}"
SP 125;21,1;22,5;1,4;"{""type"":""MultiLineString"",""coordinates"":[[[-45.4650319,-23.1855819],[-45.4645839,-23.1857039],[-45.4624929,-23.1849709],[-45.4617049,-23.1849919],[-45.4611279,-23.1854519],[-45.4601769,-23.1882239],[-45.4597379,-23.1892329],[-45.4589329,-23.1910739],[-45.4584659,-23.1917179],[-45.4568109,-23.1923219]]]}"
SP 125;22,5;26,3;3,8;"{""type"":""MultiLineString"",""coordinates"":[[[-45.4568109,-23.1923219],[-45.4555899,-23.1927679],[-45.4521309,-23.1929829],[-45.4511479,-23.1930449],[-45.4490209,-23.1944229],[-45.4458499,-23.1953319],[-45.4451259,-23.1951669],[-45.4435329,-23.1942089],[-45.4423959,-23.1935249],[-45.4407609,-23.1931999],[-45.4400129,-23.1934319],[-45.4395249,-23.1939769],[-45.4393819,-23.1946349],[-45.4394529,-23.1976759],[-45.4390299,-23.1982499],[-45.4388529,-23.1982799],[-45.4374259,-23.1985249],[-45.4349579,-23.2000499],[-45.4345249,-23.2006549],[-45.4342119,-23.2017909],[-45.4333399,-23.2036579],[-45.4326589,-23.2041419],[-45.4325969,-23.2041839],[-45.4300469,-23.2040279],[-45.4298409,-23.2041319]]]}"
SP 125;26,3;26,67;0,37;"{""type"":""MultiLineString"",""coordinates"":[[[-45.4298409,-23.2041319],[-45.4287359,-23.2046709],[-45.4278629,-23.2056939],[-45.4276299,-23.2065029]]]}"
SP 125;26,67;28,515;1,845;"{""type"":""MultiLineString"",""coordinates"":[[[-45.4276299,-23.2065029],[-45.4273339,-23.2075149],[-45.4262619,-23.2079339],[-45.4253779,-23.2079159],[-45.4236749,-23.2078849],[-45.4214719,-23.2073979],[-45.4206669,-23.2069659],[-45.4174869,-23.2037059],[-45.4142169,-23.2003509],[-45.4141539,-23.2003099]]]}"
SP 125;28,515;31,1;2,585;"{""type"":""MultiLineString"",""coordinates"":[[[-45.4141539,-23.2003099],[-45.4103409,-23.1978029],[-45.4090499,-23.1969529],[-45.4083119,-23.1968259],[-45.4040519,-23.1975229],[-45.4030969,-23.1978419],[-45.4015999,-23.1990169],[-45.4015949,-23.1990309],[-45.4011949,-23.1997739],[-45.4012089,-23.2012829],[-45.4002689,-23.2025389],[-45.3995149,-23.2026419],[-45.3988309,-23.2022379],[-45.3982649,-23.2016159],[-45.3975759,-23.2002159],[-45.3963849,-23.1996699],[-45.3958729,-23.1994349],[-45.3954759,-23.1994349]]]}"
SP 125;31,1;33,59;2,49;"{""type"":""MultiLineString"",""coordinates"":[[[-45.3954759,-23.1994349],[-45.3948989,-23.1994319],[-45.3937199,-23.2008379],[-45.3897769,-23.2037479],[-45.3891669,-23.2049259],[-45.3885559,-23.2060979],[-45.3877449,-23.2067789],[-45.3846099,-23.2084559],[-45.3834279,-23.2087319],[-45.3813679,-23.2086249],[-45.3808439,-23.2084419],[-45.3800929,-23.2081819],[-45.3786189,-23.2063469],[-45.3780979,-23.2047849],[-45.3776979,-23.2041179]]]}"
SP 125;33,59;39,3;5,71;"{""type"":""MultiLineString"",""coordinates"":[[[-45.3776979,-23.2041179],[-45.3775769,-23.2039139],[-45.3758289,-23.2026939],[-45.3747969,-23.2025109],[-45.3742059,-23.2025699],[-45.3713859,-23.2028499],[-45.3703019,-23.2028079],[-45.3656759,-23.2020199],[-45.3643759,-23.2016569],[-45.3624059,-23.2011079],[-45.3614619,-23.2014879],[-45.3606129,-23.2021589],[-45.3586649,-23.2030289],[-45.3576969,-23.2031119],[-45.3550819,-23.2028079],[-45.3543569,-23.2027219],[-45.3535369,-23.2032079],[-45.3530029,-23.2058429],[-45.3511849,-23.2065789],[-45.3502529,-23.2065299],[-45.3491639,-23.2050099],[-45.3487479,-23.2048299],[-45.3482349,-23.2046119],[-45.3472699,-23.2045569],[-45.3465269,-23.2051899],[-45.3462679,-23.2060289],[-45.3462619,-23.2077299],[-45.3459359,-23.2083999],[-45.3442479,-23.2090419],[-45.3432289,-23.2092119],[-45.3422599,-23.2090879],[-45.3420769,-23.2090639],[-45.3374229,-23.2081399],[-45.3359259,-23.2093609],[-45.3338789,-23.2090219],[-45.3329399,-23.2091949],[-45.3316929,-23.2094269],[-45.3306539,-23.2106909]]]}"
SP 125;39,3;41,89;2,59;"{""type"":""MultiLineString"",""coordinates"":[[[-45.3306539,-23.2106909],[-45.3283629,-23.2134769],[-45.3271109,-23.2159169],[-45.3269759,-23.2161789],[-45.3253489,-23.2179179],[-45.3228049,-23.2213259],[-45.3212179,-23.2228739],[-45.3204749,-23.2235989],[-45.3202049,-23.2245119],[-45.3202159,-23.2253659],[-45.3197429,-23.2259809],[-45.3189249,-23.2259909],[-45.3174049,-23.2249999],[-45.3165889,-23.2249169],[-45.3160259,-23.2253479],[-45.3157639,-23.2256979]]]}"
SP 125;41,89;43,7;1,81;"{""type"":""MultiLineString"",""coordinates"":[[[-45.3157639,-23.2256979],[-45.3151449,-23.2265269],[-45.3095189,-23.2340789],[-45.3094209,-23.2342129],[-45.3074029,-23.2350909],[-45.3065919,-23.2357929],[-45.3048529,-23.2378559],[-45.3047569,-23.2384059]]]}"
SP 125;43,7;46;2,3;"{""type"":""MultiLineString"",""coordinates"":[[[-45.3047569,-23.2384059],[-45.3053739,-23.2398959],[-45.3054019,-23.2407039],[-45.3053399,-23.2409639],[-45.3050249,-23.2423309],[-45.3060859,-23.2445089],[-45.3058889,-23.2451869],[-45.3044759,-23.2468549],[-45.3036899,-23.2469839],[-45.3028069,-23.2467249],[-45.3020359,-23.2467939],[-45.3019739,-23.2467999],[-45.3005669,-23.2475889],[-45.2995079,-23.2476749],[-45.2985719,-23.2482279],[-45.2971839,-23.2499009],[-45.2970549,-23.2517529],[-45.2963819,-23.2529699]]]}"
SP 125;46;49,3;3,3;"{""type"":""MultiLineString"",""coordinates"":[[[-45.2963819,-23.2529699],[-45.2962469,-23.2536789],[-45.2956729,-23.2550469],[-45.2948089,-23.2566749],[-45.2923289,-23.2603279],[-45.2923009,-23.2604769],[-45.2917099,-23.2635309],[-45.2904689,-23.2656769],[-45.2887579,-23.2681389],[-45.2865379,-23.2713289],[-45.2859629,-23.2725999],[-45.2857379,-23.2738549],[-45.2856759,-23.2758699],[-45.2856679,-23.2761119],[-45.2860839,-23.2770109],[-45.2870019,-23.2780259]]]}"
SP 125;49,3;52,5;3,2;"{""type"":""MultiLineString"",""coordinates"":[[[-45.2870019,-23.2780259],[-45.2874519,-23.2785239],[-45.2879929,-23.2795159],[-45.2881469,-23.2806329],[-45.2876719,-23.2836349],[-45.2871649,-23.2868259],[-45.2859879,-23.2903789],[-45.2863459,-23.2912599],[-45.2867319,-23.2917089],[-45.2875539,-23.2926629],[-45.2874799,-23.2935449],[-45.2852769,-23.2961009],[-45.2848149,-23.2982409],[-45.2844459,-23.2990849],[-45.2844459,-23.2990869],[-45.2813169,-23.3018359],[-45.2811619,-23.3020399]]]}"
SP 125;52,5;54,23;1,73;"{""type"":""MultiLineString"",""coordinates"":[[[-45.2811619,-23.3020399],[-45.2807799,-23.3025499],[-45.2799659,-23.3052849],[-45.2799099,-23.3060559],[-45.2797209,-23.3086299],[-45.2808969,-23.3144019],[-45.2810499,-23.3151549],[-45.2809009,-23.3163259]]]}"
SP 125;54,23;62,5;8,27;"{""type"":""MultiLineString"",""coordinates"":[[[-45.2809009,-23.3163259],[-45.2811789,-23.3188219],[-45.2818519,-23.3203019],[-45.2815079,-23.3230009],[-45.2814609,-23.3233709],[-45.2815839,-23.3240549],[-45.2827149,-23.3248909],[-45.2830049,-23.3254779],[-45.2827519,-23.3261419],[-45.2792029,-23.3297189],[-45.2790819,-23.3299879],[-45.2783869,-23.3315409],[-45.2773319,-23.3386699],[-45.2773199,-23.3387569],[-45.2758689,-23.3408829],[-45.2747089,-23.3415909],[-45.2739269,-23.3418949],[-45.2706679,-23.3420949],[-45.2693669,-23.3423379],[-45.2679289,-23.3426039],[-45.2668119,-23.3431879],[-45.2635949,-23.3463599],[-45.2626839,-23.3466789],[-45.2614649,-23.3467029],[-45.2574289,-23.3467879],[-45.2564439,-23.3472039],[-45.2546199,-23.3483819],[-45.2535509,-23.3487969],[-45.2523999,-23.3487579],[-45.2523299,-23.3487549],[-45.2484769,-23.3473589],[-45.2448319,-23.3464159],[-45.2437369,-23.3464259],[-45.2431999,-23.3466119],[-45.2427549,-23.3467649],[-45.2385649,-23.3498269],[-45.2365129,-23.3510149],[-45.2355479,-23.3511989],[-45.2351279,-23.3511709],[-45.2345369,-23.3511329],[-45.2335469,-23.3515689],[-45.2311009,-23.3533829]]]}"
SP 125;62,5;65,6;3,1;"{""type"":""MultiLineString"",""coordinates"":[[[-45.2311009,-23.3533829],[-45.2274819,-23.3560689],[-45.2273019,-23.3560709],[-45.2266969,-23.3560789],[-45.2238319,-23.3548139],[-45.2227059,-23.3546659],[-45.2214539,-23.3556679],[-45.2204179,-23.3577029],[-45.2199819,-23.3581289],[-45.2198809,-23.3582289],[-45.2191069,-23.3582429],[-45.2176999,-23.3574719],[-45.2158869,-23.3576889],[-45.2148569,-23.3576309],[-45.2121159,-23.3557509],[-45.2115979,-23.3551659],[-45.2107509,-23.3542089],[-45.2097299,-23.3539119],[-45.2086119,-23.3541439],[-45.2072469,-23.3557749]]]}"
SP 125;65,6;66,34;0,74;"{""type"":""MultiLineString"",""coordinates"":[[[-45.2072469,-23.3557749],[-45.2048909,-23.3585909],[-45.2028879,-23.3609829]]]}"
SP 125;66,34;77,8;11,46;"{""type"":""MultiLineString"",""coordinates"":[[[-45.2028879,-23.3609829],[-45.2014439,-23.3627799],[-45.1984409,-23.3654239],[-45.1973069,-23.3664229],[-45.1966649,-23.3672519],[-45.1961029,-23.3689529],[-45.1961929,-23.3698169],[-45.1959479,-23.3706399],[-45.1952249,-23.3713099],[-45.1930999,-23.3724739],[-45.1930039,-23.3725259],[-45.1920469,-23.3733179],[-45.1914389,-23.3742789],[-45.1903619,-23.3772719],[-45.1896519,-23.3780629],[-45.1873279,-23.3795459],[-45.1862889,-23.3802099],[-45.1819609,-23.3838619],[-45.1802809,-23.3859709],[-45.1771489,-23.3899109],[-45.1764219,-23.3904359],[-45.1729779,-23.3918079],[-45.1724509,-23.3920189],[-45.1719309,-23.3917279],[-45.1722259,-23.3888809],[-45.1712439,-23.3883069],[-45.1698739,-23.3884689],[-45.1680749,-23.3876809],[-45.1679199,-23.3870909],[-45.1681309,-23.3866859],[-45.1682519,-23.3864579],[-45.1679909,-23.3850439],[-45.1667999,-23.3831369],[-45.1663189,-23.3827389],[-45.1649739,-23.3822209],[-45.1629619,-23.3819929],[-45.1617959,-23.3812329],[-45.1616019,-23.3812149],[-45.1604059,-23.3811179],[-45.1546249,-23.3792069],[-45.1524779,-23.3777829],[-45.1519849,-23.3774549],[-45.1468129,-23.3755159],[-45.1448799,-23.3736979],[-45.1440099,-23.3731939],[-45.1438049,-23.3730729],[-45.1433959,-23.3726649],[-45.1434919,-23.3720669],[-45.1446489,-23.3711059],[-45.1452369,-23.3699899],[-45.1449189,-23.3695199],[-45.1443669,-23.3692189],[-45.1435009,-23.3676709],[-45.1422759,-23.3668309],[-45.1414719,-23.3664569],[-45.1410659,-23.3662679],[-45.1386319,-23.3630849],[-45.1367439,-23.3618199],[-45.1353609,-23.3615189],[-45.1348779,-23.3611979],[-45.1342999,-23.3605129],[-45.1328349,-23.3587779],[-45.1325719,-23.3581489],[-45.1324149,-23.3569259],[-45.1303549,-23.3542989]]]}"
SP 125;77,8;78,95;1,15;"{""type"":""MultiLineString"",""coordinates"":[[[-45.1303549,-23.3542989],[-45.1296089,-23.3540229],[-45.1295329,-23.3540119],[-45.1282359,-23.3538499],[-45.1275269,-23.3539459],[-45.1271129,-23.3543819],[-45.1266679,-23.3553599],[-45.1264239,-23.3556129]]]}"
SP 125;78,95;89,9;10,95;"{""type"":""MultiLineString"",""coordinates"":[[[-45.1264239,-23.3556129],[-45.1261079,-23.3559409],[-45.1258019,-23.3562619],[-45.1239129,-23.3566799],[-45.1222969,-23.3575999],[-45.1222559,-23.3601749],[-45.1217519,-23.3617469],[-45.1218559,-23.3623519],[-45.1219349,-23.3628009],[-45.1224409,-23.3635709],[-45.1232549,-23.3632429],[-45.1234489,-23.3643489],[-45.1232689,-23.3646429],[-45.1234769,-23.3647289],[-45.1240759,-23.3643829],[-45.1249659,-23.3659769],[-45.1254159,-23.3662019],[-45.1243379,-23.3661939],[-45.1237669,-23.3663849],[-45.1234769,-23.3667929],[-45.1231749,-23.3672179],[-45.1220439,-23.3681929],[-45.1211349,-23.3684479],[-45.1221319,-23.3685659],[-45.1223459,-23.3687419],[-45.1225989,-23.3687519],[-45.1243489,-23.3679439],[-45.1245179,-23.3680369],[-45.1245799,-23.3682539],[-45.1244959,-23.3684549],[-45.1243629,-23.3685199],[-45.1241319,-23.3684409],[-45.1238449,-23.3688979],[-45.1236539,-23.3689289],[-45.1235579,-23.3691319],[-45.1227649,-23.3695609],[-45.1220049,-23.3699729],[-45.1214919,-23.3697929],[-45.1207889,-23.3699059],[-45.1200939,-23.3706669],[-45.1190019,-23.3714859],[-45.1169419,-23.3736429],[-45.1161429,-23.3721599],[-45.1154949,-23.3709539],[-45.1148649,-23.3701589],[-45.1145419,-23.3699099],[-45.1143189,-23.3699729],[-45.1149239,-23.3712639],[-45.1146419,-23.3721529],[-45.1150249,-23.3741269],[-45.1156079,-23.3748629],[-45.1153549,-23.3754229],[-45.1153539,-23.3754259],[-45.1155179,-23.3759689],[-45.1152559,-23.3760169],[-45.1149669,-23.3754369],[-45.1147809,-23.3755709],[-45.1148789,-23.3762939],[-45.1156419,-23.3766279],[-45.1168269,-23.3768299],[-45.1173439,-23.3765939],[-45.1186949,-23.3766709],[-45.1188129,-23.3775689],[-45.1185289,-23.3786259],[-45.1187319,-23.3789449],[-45.1191089,-23.3788169],[-45.1195029,-23.3786819],[-45.1197479,-23.3799569],[-45.1190439,-23.3813669],[-45.1195709,-23.3817299],[-45.1202859,-23.3826149],[-45.1197929,-23.3837349],[-45.1212559,-23.3844709],[-45.1217879,-23.3844919],[-45.1220559,-23.3850579],[-45.1221619,-23.3852819],[-45.1225739,-23.3855389],[-45.1223029,-23.3865749],[-45.1225369,-23.3878889],[-45.1223739,-23.3902219],[-45.1211189,-23.3926689],[-45.1211519,-23.3933079],[-45.1212619,-23.3953779],[-45.1210709,-23.3962689],[-45.1205919,-23.3979009],[-45.1189149,-23.4016399],[-45.1189039,-23.4017059],[-45.1183069,-23.4053489],[-45.1157849,-23.4098939],[-45.1145299,-23.4121579],[-45.1142939,-23.4134259],[-45.1143589,-23.4147119],[-45.1137559,-23.4174479]]]}"
SP 125;89,9;94,5;4,6;"{""type"":""MultiLineString"",""coordinates"":[[[-45.1137559,-23.4174479],[-45.1135679,-23.4183089],[-45.1124029,-23.4236099],[-45.1120929,-23.4241429],[-45.1101059,-23.4256009],[-45.1098899,-23.4259889],[-45.1077309,-23.4299039],[-45.1064499,-23.4314629],[-45.1059749,-23.4329599],[-45.1055069,-23.4336369],[-45.1054479,-23.4336959],[-45.1029829,-23.4361049],[-45.1017899,-23.4367649],[-45.0978379,-23.4368269],[-45.0972639,-23.4370549],[-45.0964589,-23.4373759],[-45.0935979,-23.4380809],[-45.0896519,-23.4375279],[-45.0890549,-23.4373149],[-45.0884329,-23.4367299],[-45.0877549,-23.4356509],[-45.0869639,-23.4334539],[-45.0864999,-23.4333709],[-45.0858949,-23.4335789]]]}"
SP 127;0;0,3;0,3;"{""type"":""MultiLineString"",""coordinates"":[[[-47.5699149,-22.4348819],[-47.5706889,-22.4358249],[-47.5710239,-22.4365129],[-47.5711279,-22.4372759],[-47.5711869,-22.4377219],[-47.571222,-22.4379819]]]}"
SP 127;0,3;1,35;1,05;"{""type"":""MultiLineString"",""coordinates"":[[[-47.571222,-22.4379819],[-47.5713389,-22.4388489],[-47.5731009,-22.4465629]]]}"
SP 127;1,35;2,7;1,35;"{""type"":""MultiLineString"",""coordinates"":[[[-47.5731009,-22.4465629],[-47.5736669,-22.4490329],[-47.5758249,-22.4584729]]]}"
SP 127;2,7;3,35;0,65;"{""type"":""MultiLineString"",""coordinates"":[[[-47.5758249,-22.4584729],[-47.5759239,-22.4589079],[-47.5764529,-22.4602459],[-47.5782029,-22.4638949]]]}"
SP 127;3,35;7,95;4,6;"{""type"":""MultiLineString"",""coordinates"":[[[-47.5782029,-22.4638949],[-47.5793349,-22.4662489],[-47.5796889,-22.4672169],[-47.5800179,-22.4688719],[-47.5799899,-22.4707199],[-47.5792049,-22.4806059],[-47.5792189,-22.4826069],[-47.5799389,-22.4870579],[-47.5804719,-22.4900789],[-47.5830659,-22.5047659]]]}"
SP 127;7,95;8,83;0,88;"{""type"":""MultiLineString"",""coordinates"":[[[-47.5830659,-22.5047659],[-47.5844529,-22.5125979]]]}"
SP 127;8,83;11,625;2,795;"{""type"":""MultiLineString"",""coordinates"":[[[-47.5844529,-22.5125979],[-47.5844879,-22.5127959],[-47.5847689,-22.5147479],[-47.5849089,-22.5163689],[-47.5849149,-22.5182009],[-47.5848029,-22.5199259],[-47.5831089,-22.5377069]]]}"
SP 127;11,625;11,9;0,275;"{""type"":""MultiLineString"",""coordinates"":[[[-47.5831089,-22.5377069],[-47.5830459,-22.5383799],[-47.5828743,-22.5401706]]]}"
SP 127;11,9;12;0,1;"{""type"":""MultiLineString"",""coordinates"":[[[-47.5828743,-22.5401706],[-47.5827885,-22.5410665]]]}"
SP 127;12;12,1;0,1;"{""type"":""MultiLineString"",""coordinates"":[[[-47.5827885,-22.5410665],[-47.5827879,-22.5410729],[-47.5827073,-22.5419627]]]}"
SP 127;12,1;13,625;1,525;"{""type"":""MultiLineString"",""coordinates"":[[[-47.5827073,-22.5419627],[-47.5825849,-22.5433129],[-47.5825119,-22.5441209],[-47.5824469,-22.5448369],[-47.5821909,-22.5476849],[-47.5821939,-22.5482409],[-47.5821999,-22.5491399],[-47.5821999,-22.5491879],[-47.5822139,-22.5493199],[-47.5823399,-22.5505709],[-47.5823519,-22.5506849],[-47.5828469,-22.5530279],[-47.5834769,-22.5555409]]]}"
SP 127;13,625;14,635;1,01;"{""type"":""MultiLineString"",""coordinates"":[[[-47.5834769,-22.5555409],[-47.5856919,-22.5643849]]]}"
SP 127;14,635;15,5;0,865;"{""type"":""MultiLineString"",""coordinates"":[[[-47.5856919,-22.5643849],[-47.5875889,-22.5719599]]]}"
SP 127;15,5;16,9;1,4;"{""type"":""MultiLineString"",""coordinates"":[[[-47.5875889,-22.5719599],[-47.5904589,-22.5834029]]]}"
SP 127;16,9;19,5;2,6;"{""type"":""MultiLineString"",""coordinates"":[[[-47.5904589,-22.5834029],[-47.5957869,-22.6046539]]]}"
SP 127;19,5;22,8;3,3;"{""type"":""MultiLineString"",""coordinates"":[[[-47.5957869,-22.6046539],[-47.6011149,-22.6259059],[-47.6025499,-22.6316269]]]}"
SP 127;22,8;25,54;2,74;"{""type"":""MultiLineString"",""coordinates"":[[[-47.6025499,-22.6316269],[-47.6058059,-22.6446109],[-47.6059439,-22.6449629],[-47.6139479,-22.6584869]]]}"
SP 127;25,54;27,1;1,56;"{""type"":""MultiLineString"",""coordinates"":[[[-47.6139479,-22.6584869],[-47.6160949,-22.6620569],[-47.6168349,-22.6629459],[-47.6196349,-22.6650639]]]}"
SP 127;27,1;28,2;1,1;"{""type"":""MultiLineString"",""coordinates"":[[[-47.6196349,-22.6650639],[-47.6251939,-22.6692699],[-47.6259199,-22.6698919],[-47.6262709,-22.6703829],[-47.6287669,-22.6725849]]]}"
SP 127;28,2;29,55;1,35;"{""type"":""MultiLineString"",""coordinates"":[[[-47.6287669,-22.6725849],[-47.6322179,-22.6756259],[-47.6332279,-22.6766489],[-47.6337939,-22.6773919],[-47.6378129,-22.6835639]]]}"
SP 127;29,55;30,72;1,17;"{""type"":""MultiLineString"",""coordinates"":[[[-47.6378129,-22.6835639],[-47.6394569,-22.6860909],[-47.6405029,-22.6874839],[-47.6428419,-22.6894189],[-47.6465459,-22.6923499]]]}"
SP 127;30,72;32;1,28;"{""type"":""MultiLineString"",""coordinates"":[[[-47.6465459,-22.6923499],[-47.6509159,-22.6958089],[-47.6512769,-22.6961129],[-47.6528409,-22.6974329],[-47.6530889,-22.6976409],[-47.6533359,-22.6978489],[-47.6542089,-22.6982599],[-47.6543799,-22.6985499],[-47.6549039,-22.6994589],[-47.6558299,-22.7003469],[-47.6569619,-22.7014289],[-47.6572899,-22.7015949]]]}"
SP 127;32;32,026;0,026;"{""type"":""MultiLineString"",""coordinates"":[[[-47.6572899,-22.7015949],[-47.6575939,-22.7017494]]]}"
SP 127;32,026;32,03;0,004;"{""type"":""MultiLineString"",""coordinates"":[[[-47.6575939,-22.7017494],[-47.6575949,-22.7017499],[-47.6576419,-22.7017709]]]}"
SP 127;39;39,562;0,562;"{""type"":""MultiLineString"",""coordinates"":[[[-47.6475669,-22.7495679],[-47.6490219,-22.7499739],[-47.6490979,-22.7501049],[-47.6490509,-22.7504299],[-47.6487969,-22.7510309],[-47.6484929,-22.7513209],[-47.6484131,-22.7515054]]]}"
SP 127;39,562;40;0,438;"{""type"":""MultiLineString"",""coordinates"":[[[-47.6484131,-22.7515054],[-47.6474349,-22.7537679]]]}"
SP 127;40;41;1;"{""type"":""MultiLineString"",""coordinates"":[[[-47.6474349,-22.7537679],[-47.6472409,-22.7547459],[-47.6465039,-22.7564709],[-47.6464729,-22.7565299],[-47.6461099,-22.7572169],[-47.6457719,-22.7574909],[-47.6456079,-22.7577739],[-47.6456079,-22.7579989],[-47.6456089,-22.7585379],[-47.6455659,-22.7586829],[-47.6452909,-22.7596849],[-47.6452729,-22.7597539],[-47.6450959,-22.7613989],[-47.6450029,-22.7622629],[-47.6448009,-22.7629579],[-47.6448149,-22.7630929],[-47.6448569,-22.7635179],[-47.6452319,-22.7642749],[-47.6456139,-22.7655539]]]}"
SP 127;41;43,8;2,8;"{""type"":""MultiLineString"",""coordinates"":[[[-47.6456139,-22.7655539],[-47.6457319,-22.7659579],[-47.6458049,-22.7661309],[-47.6461149,-22.7668909],[-47.6500599,-22.7759769],[-47.6528719,-22.7824599],[-47.6619879,-22.8033769]]]}"
SP 127;43,8;47,87;4,07;"{""type"":""MultiLineString"",""coordinates"":[[[-47.6619879,-22.8033769],[-47.6640849,-22.8082289],[-47.6659759,-22.8126009],[-47.6668709,-22.8146709],[-47.6692089,-22.8200769],[-47.6699999,-22.8219079]]]}"
SP 127;47,87;49,4;1,53;"{""type"":""MultiLineString"",""coordinates"":[[[-47.6699999,-22.8219079],[-47.6756539,-22.8349999]]]}"
SP 127;49,4;51,75;2,35;"{""type"":""MultiLineString"",""coordinates"":[[[-47.6756539,-22.8349999],[-47.6767649,-22.8375679],[-47.6772999,-22.8388119],[-47.6774609,-22.8392929],[-47.6777509,-22.8401739],[-47.6780229,-22.8406089],[-47.6782259,-22.8409309],[-47.6792959,-22.8434149],[-47.6793459,-22.8435299],[-47.6795459,-22.8439969],[-47.6796759,-22.8442969],[-47.6796979,-22.8443869],[-47.6797149,-22.8444699],[-47.6798409,-22.8449909],[-47.6803849,-22.8463399],[-47.6805139,-22.8465459],[-47.6808609,-22.8470829],[-47.6809559,-22.8472339],[-47.6817409,-22.8490939],[-47.6830239,-22.8521249],[-47.6832039,-22.8525059],[-47.6837419,-22.8536489]]]}"
