COD_ROD;KM_ini.1;KM_FIM;Dist;Geo2
SP 008;55;56;1;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5859229,-23.1948449],[-46.5857089,-23.1943439],[-46.5855169,-23.1934769],[-46.5852279,-23.1931649],[-46.5848369,-23.1922289],[-46.5836259,-23.1910509],[-46.5833919,-23.1906489],[-46.5827199,-23.1878949],[-46.5826439,-23.1872759],[-46.5826719,-23.1867439],[-46.5831339,-23.1863809]]]}"
SP 008;56;58,8;2,8;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5831339,-23.1863809],[-46.5825599,-23.1846669],[-46.5781949,-23.1746169],[-46.5765769,-23.1696879]]]}"
SP 008;58,8;58,93;0,13;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5765769,-23.1696879],[-46.5763459,-23.1697399],[-46.5755859,-23.1683849]]]}"
SP 008;58,93;61;2,07;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5755859,-23.1683849],[-46.5751159,-23.1675489],[-46.5739619,-23.1654929],[-46.5727829,-23.1629099],[-46.5723579,-23.1625269],[-46.5716339,-23.1615359],[-46.5712909,-23.1612129],[-46.5667879,-23.1574439],[-46.5667259,-23.1572599],[-46.5667409,-23.1569389],[-46.5667599,-23.1565309],[-46.5669319,-23.1558009],[-46.5669509,-23.1548789],[-46.5672719,-23.1544439],[-46.5678189,-23.1541569],[-46.5679369,-23.1538839],[-46.5678799,-23.1537379],[-46.5676129,-23.1535999],[-46.5663549,-23.1536729],[-46.5658629,-23.1529199],[-46.5655329,-23.1529129],[-46.5653589,-23.1530889],[-46.5650089,-23.1532099],[-46.5640579,-23.1523909],[-46.5637679,-23.1523219],[-46.5624509,-23.1523079],[-46.5607679,-23.1526629],[-46.5583319,-23.1520939]]]}"
SP 008;61;64;3;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5583319,-23.1520939],[-46.5560239,-23.1504139],[-46.5555739,-23.1497699],[-46.5533869,-23.1452739],[-46.5533699,-23.1448809],[-46.5538509,-23.1429759],[-46.5546219,-23.1399349],[-46.5547959,-23.1389529],[-46.5544029,-23.1323349],[-46.5543879,-23.1320649],[-46.5535949,-23.1242409],[-46.5537179,-23.1236189],[-46.5544529,-23.1217559]]]}"
SP 008;69,36;69,63;0,27;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5551853,-23.0991447],[-46.5552499,-23.0986029],[-46.5555309,-23.0981579],[-46.5554749,-23.0976459],[-46.5552069,-23.0968379]]]}"
SP 008;69,63;73,9;4,27;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5552069,-23.0968379],[-46.5553339,-23.0965469],[-46.5555089,-23.0963739],[-46.5560579,-23.0961039],[-46.5562569,-23.0958559],[-46.5565019,-23.0952679],[-46.5575229,-23.0949469],[-46.5577179,-23.0948359],[-46.5585479,-23.0943599],[-46.5588659,-23.0942479],[-46.5599189,-23.0942799],[-46.5614609,-23.0940829],[-46.5618209,-23.0939549],[-46.5626289,-23.0930739],[-46.5633469,-23.0921549],[-46.5635259,-23.0917909],[-46.5639599,-23.0901729],[-46.5638219,-23.0897909],[-46.5637519,-23.0897109],[-46.5632509,-23.0891399],[-46.5632619,-23.0882319],[-46.5628939,-23.0873749],[-46.5629719,-23.0864309],[-46.5626319,-23.0850379],[-46.5626059,-23.0846059],[-46.5629079,-23.0837109],[-46.5629689,-23.0832789],[-46.5629099,-23.0828609],[-46.5625159,-23.0827259],[-46.5620489,-23.0827949],[-46.5616239,-23.0826299],[-46.5612669,-23.0823739],[-46.5605569,-23.0818689],[-46.5604229,-23.0815229],[-46.5604029,-23.0811089],[-46.5598309,-23.0799089],[-46.5598319,-23.0794839],[-46.5601069,-23.0791459],[-46.5608479,-23.0787139],[-46.5614049,-23.0785579],[-46.5621199,-23.0779909],[-46.5628909,-23.0778219],[-46.5636779,-23.0774269],[-46.5640869,-23.0773139],[-46.5649679,-23.0775799],[-46.5650209,-23.0775799],[-46.5654539,-23.0775769],[-46.5661939,-23.0769929],[-46.5661609,-23.0765849],[-46.5655979,-23.0756689],[-46.5657019,-23.0753439],[-46.5657779,-23.0744109],[-46.5667409,-23.0725379],[-46.5669649,-23.0713109],[-46.5671629,-23.0711859],[-46.5675599,-23.0712719]]]}"
SP 008;73,9;78;4,1;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5675599,-23.0712719],[-46.5678549,-23.0714179],[-46.5684939,-23.0711759],[-46.5687549,-23.0710759],[-46.5689409,-23.0708129],[-46.5690309,-23.0703739],[-46.5693949,-23.0696449],[-46.5696279,-23.0692639],[-46.5700639,-23.0688019],[-46.5701849,-23.0671569],[-46.5702779,-23.0669099],[-46.5704019,-23.0667069],[-46.5714379,-23.0658149],[-46.5715589,-23.0654449],[-46.5711279,-23.0641839],[-46.5710489,-23.0637629],[-46.5710719,-23.0632959],[-46.5712179,-23.0627979],[-46.5717389,-23.0610249],[-46.5720119,-23.0595669],[-46.5722369,-23.0574229],[-46.5721299,-23.0571789],[-46.5708639,-23.0555369],[-46.5699179,-23.0545689],[-46.5697799,-23.0541959],[-46.5697239,-23.0540509],[-46.5680749,-23.0516689],[-46.5660029,-23.0478259],[-46.5658459,-23.0476329],[-46.5656119,-23.0475189],[-46.5653949,-23.0475909],[-46.5651509,-23.0475049],[-46.5639429,-23.0469659],[-46.5634249,-23.0467349],[-46.5629069,-23.0462199],[-46.5621029,-23.0452479],[-46.5618379,-23.0447879],[-46.5613849,-23.0427909],[-46.5611909,-23.0423099],[-46.5609989,-23.0420959],[-46.5593639,-23.0411669],[-46.5582159,-23.0396249]]]}"
SP 008;78;81,1;3,1;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5582159,-23.0396249],[-46.5576339,-23.0387989],[-46.5570589,-23.0382289],[-46.5536429,-23.0357499],[-46.5526329,-23.0351039],[-46.5522299,-23.0349389],[-46.5519759,-23.0348349],[-46.5516839,-23.0348039],[-46.5493169,-23.0351669],[-46.5484359,-23.0350489],[-46.5475609,-23.0346749],[-46.5454809,-23.0334039],[-46.5449209,-23.0331759],[-46.5413949,-23.0317349],[-46.5410379,-23.0314539],[-46.5386989,-23.0289249],[-46.5381839,-23.0283689]]]}"
SP 008;81,1;83;1,9;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5381839,-23.0283689],[-46.5366859,-23.0267409],[-46.5363379,-23.0260909],[-46.5358679,-23.0255279],[-46.5355329,-23.0251239],[-46.5352149,-23.0239129],[-46.5348379,-23.0232159],[-46.5341589,-23.0226939],[-46.5335569,-23.0224209]]]}"
